dm, v1
10.475359853136705, 5.59057604623564
13.461061293645814, 5.5877671756157605
18.734536203804858, 5.584066729573154
30.238671482494293, 5.578711807077799
47.70693619991552, 5.573616655169251
69.49395885364969, 5.56941665824943
112.16744139984145, 5.564075784654328
198.33087967460477, 5.557724279361435
292.28433688719565, 6.09031355300473
425.853632460509, 6.612782397701351
579.4186966032463, 7.049727722829316
761.8566139409269, 7.51605964927054
1024.8372925542278, 8.012872840780597
1332.2179056808025, 8.464631372922204
1654.5649107770173, 8.86052663889555
1985.8248525631539, 9.275573771324517
